"Paper Name","DOI","Run ID","Method","Total Formulation Volume","API Name","API Initial Amount","Chitosan Molecular Weight/Type","Chitosan Initial Amount","Alginate Initial Amount","CS_ALG Ratio","Surfactant Type","Surfactant Initial Amount","Crosslinker Type","Crosslinker Initial Amount","Stirring Speed","Temperature","Sonication Time","pH","Particle Size","Zeta Potential","Encapsulation Efficiency","Data Extraction Remarks","Data Extraction Thoughts"
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","1","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 1 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.075 mg/mL","20 mL @ 0.6 mg/mL","0.025:1","Pluronic F127","0.75% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","226 nm","-28.5 mV","67.8%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","2","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 1 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.225 mg/mL","20 mL @ 0.6 mg/mL","0.075:1","Pluronic F127","0.75% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","390 nm","-19.2 mV","39.2%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","3","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 5 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.075 mg/mL","20 mL @ 0.6 mg/mL","0.025:1","Pluronic F127","0.75% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","316 nm","-28.5 mV","31.2%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","4","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 5 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.225 mg/mL","20 mL @ 0.6 mg/mL","0.075:1","Pluronic F127","0.75% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","536 nm","-18.4 mV","28.2%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","5","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 3 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.075 mg/mL","20 mL @ 0.6 mg/mL","0.025:1","Pluronic F127","0.50% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","212 nm","-29.2 mV","66.8%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","6","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 3 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.225 mg/mL","20 mL @ 0.6 mg/mL","0.075:1","Pluronic F127","0.50% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","356 nm","-19.7 mV","43.1%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","7","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 3 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.075 mg/mL","20 mL @ 0.6 mg/mL","0.025:1","Pluronic F127","1.00% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","326 nm","-28.8 mV","42.2%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","8","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 3 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.225 mg/mL","20 mL @ 0.6 mg/mL","0.075:1","Pluronic F127","1.00% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","552 nm","-17.2 mV","31.6%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","9","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 1 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.15 mg/mL","20 mL @ 0.6 mg/mL","0.050:1","Pluronic F127","0.50% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","257 nm","-25.6 mV","75.7%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
"Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment","10.1016/j.msec.2017.11.022","10","O/w emulsification and ionotropic gelation",,"Curcumin diglutaric acid","1 mL @ 5 mg/mL","CS (MW 75,000, 84.3% DDA)","4 mL @ 0.15 mg/mL","20 mL @ 0.6 mg/mL","0.050:1","Pluronic F127","0.50% w/v","CaCl2","4 mL @ 0.51 mg/mL","1000 rpm","Room temperature","15 min","4.6","345 nm","-22.1 mV","55.7%",,"- Constants & Hunted Values: Fixed pH (CS=4.6, Alg=4.9). Methods text states 20 mL of alginate solution (0.6 mg/mL) used for all runs. 4 mL of CaCl2 solution (0.51 mg/mL) added to all. 4 mL of CS solution added to all. Sonication at 45 kHz, 80 W for 15 min. Stirring at 1000 rpm. Temp: Room temperature.
- DoE Mapping: X1 (CS/Alg ratio): 0.025=0.025:1, 0.050=0.050:1, 0.075=0.075:1. X2 (CG conc): 1.00=1 mg/mL, 3.00=3 mg/mL, 5.00=5 mg/mL. X3 (Pluronic F127): 0.50=0.50% w/v, 0.75=0.75% w/v, 1.00=1.00% w/v.
- Volume Logic: Total Vol is not explicitly stated. NaN used. Standalone concentrations used for CS, Alg, and Pluronic F127.
- CQA Pairing Strategy: Inputs in Table 2 (X1, X2, X3) are directly paired with CQA outputs (Y1, Y2, Y3) in the same table. All 15 DoE runs extracted. An additional optimized run is extracted from Table 4."
